Chromosome ID,Total length [px],Long arm length [%],Short arm length [%],Long arm length [px],Short arm length [px] 
1,50.0,100.0,0.0,50.0,0.0
2,42.0,100.0,0.0,42.0,0.0
3,41.0,100.0,0.0,41.0,0.0
4,40.0,100.0,0.0,40.0,0.0
5,39.0,100.0,0.0,39.0,0.0
6,38.0,100.0,0.0,38.0,0.0
7,37.0,100.0,0.0,37.0,0.0
8,36.0,100.0,0.0,36.0,0.0
9,31.414213562373096,100.0,0.0,31.414213562373096,0.0
10,31.0,100.0,0.0,31.0,0.0
11,29.0,100.0,0.0,29.0,0.0
12,26.0,100.0,0.0,26.0,0.0
13,26.0,100.0,0.0,26.0,0.0
14,26.0,100.0,0.0,26.0,0.0
15,24.0,100.0,0.0,24.0,0.0
16,23.0,100.0,0.0,23.0,0.0
17,21.0,100.0,0.0,21.0,0.0
18,19.0,100.0,0.0,19.0,0.0
19,19.0,100.0,0.0,19.0,0.0
20,13.0,100.0,0.0,13.0,0.0
