Chromosome ID,Total length [px],Long arm length [%],Short arm length [%],Long arm length [px],Short arm length [px] 
1,81.0,100.0,0.0,81.0,0.0
2,74.41421356237309,100.0,0.0,74.41421356237309,0.0
3,65.0,100.0,0.0,65.0,0.0
4,62.0,100.0,0.0,62.0,0.0
5,58.0,100.0,0.0,58.0,0.0
6,55.0,100.0,0.0,55.0,0.0
7,54.0,100.0,0.0,54.0,0.0
8,49.0,100.0,0.0,49.0,0.0
9,48.0,100.0,0.0,48.0,0.0
10,47.0,100.0,0.0,47.0,0.0
11,43.0,100.0,0.0,43.0,0.0
12,43.0,100.0,0.0,43.0,0.0
13,42.0,100.0,0.0,42.0,0.0
14,42.0,100.0,0.0,42.0,0.0
15,40.41421356237309,100.0,0.0,40.41421356237309,0.0
16,40.0,100.0,0.0,40.0,0.0
17,37.0,100.0,0.0,37.0,0.0
18,36.0,100.0,0.0,36.0,0.0
19,31.0,100.0,0.0,31.0,0.0
20,30.0,100.0,0.0,30.0,0.0
