Chromosome ID,Total length [px],Long arm length [%],Short arm length [%],Long arm length [px],Short arm length [px] 
1,104.82842712474618,99.99999999999999,0.0,104.82842712474617,0.0
2,94.0,100.0,0.0,94.0,0.0
3,93.0,100.0,0.0,93.0,0.0
4,88.0,100.0,0.0,88.0,0.0
5,82.0,100.0,0.0,82.0,0.0
6,80.0,100.0,0.0,80.0,0.0
7,80.0,100.0,0.0,80.0,0.0
8,76.0,100.0,0.0,76.0,0.0
9,69.0,100.0,0.0,69.0,0.0
10,67.0,100.0,0.0,67.0,0.0
11,63.0,100.0,0.0,63.0,0.0
12,62.0,100.0,0.0,62.0,0.0
13,61.41421356237309,100.0,0.0,61.414213562373085,0.0
14,58.0,100.0,0.0,58.0,0.0
15,57.0,100.0,0.0,57.0,0.0
16,55.0,100.0,0.0,55.0,0.0
17,50.0,100.0,0.0,50.0,0.0
18,50.0,100.0,0.0,50.0,0.0
19,39.0,100.0,0.0,39.0,0.0
20,36.0,100.0,0.0,36.0,0.0
